lmfdb_index|coeffs|monogenic
1|1,1,-3,-1|1
1|1,4,-4,-1|1
1|4,0,-6,0|-1
1|1,-1,-4,0|1
1|5,0,-5,0|1
1|2,0,-4,0|1
1|4,2,-5,-1|-1
1|1,0,-4,0|1
1|5,5,-4,-2|1
1|1,2,-3,-2|1
1|2,1,-4,-1|1
1|1,8,-7,-2|-1
1|1,2,-4,-1|1
1|1,-1,-5,-1|1
1|4,0,-9,0|-1
1|2,-4,-6,0|1
1|11,0,-7,0|1
1|9,3,-7,-1|-1
1|1,4,-3,-2|1
1|1,1,-6,-1|-1
1|11,7,-6,-2|1
1|11,1,-8,-1|-1
1|11,6,-8,-1|-1
1|1,-2,-5,0|1
1|11,9,-9,-1|1
1|5,-2,-6,0|1
1|1,-1,-5,0|1
1|3,3,-4,-2|1
1|1,0,-5,0|1
1|7,0,-6,0|1
1|9,0,-11,0|-1
1|4,4,-5,-2|1
1|1,2,-4,-2|1
1|3,4,-5,-1|1
1|19,0,-9,0|1
1|16,4,-9,-1|-1
1|20,0,-10,0|-1
1|1,5,-5,-1|1
1|3,0,-5,0|1
1|4,3,-5,-1|1
1|19,9,-8,-2|1
1|19,2,-10,-1|-1
1|7,6,-5,-2|1
1|1,-2,-6,-1|1
1|1,1,-5,-1|1
1|19,7,-10,-1|-1
1|2,0,-5,0|1
1|3,1,-5,-1|1
1|7,2,-7,-2|1
1|3,-3,-6,0|1
1|20,10,-11,-1|-1
1|2,1,-5,-2|1
1|8,8,-7,-2|-1
1|-1,8,-6,-1|1
1|1,-6,-7,0|1
1|-1,10,-9,-2|-1
1|1,2,-5,-1|1
1|16,0,-13,0|-1
1|1,3,-4,-2|1
1|2,4,-5,-1|1
1|3,4,-4,-2|1
1|2,1,-5,-1|1
1|25,5,-11,-1|1
1|3,5,-4,-2|1
1|1,3,-5,-1|1
1|3,3,-5,-1|1
1|31,0,-12,0|-1
1|9,0,-8,0|-1
1|29,11,-10,-2|1
1|29,3,-12,-1|-1
1|1,-1,-6,-1|1
1|2,0,-7,0|-1
1|29,8,-12,-1|-1
1|31,12,-11,-2|-1
1|1,7,-6,-1|1
1|31,1,-13,-1|1
1|2,2,-5,-1|1
1|6,0,-6,0|1
1|9,6,-7,-2|-1
1|4,8,-7,-2|1
1|3,6,-6,-1|1
1|1,-3,-6,0|1
1|3,2,-5,-2|1
1|14,0,-8,0|1
1|19,14,-13,-2|-1
1|2,4,-4,-2|1
1|31,11,-13,-1|-1
1|31,14,-14,-1|1
1|2,1,-7,-1|1
1|2,5,-4,-2|1
1|2,-1,-6,-1|1
1|1,-2,-6,0|1
1|36,6,-13,-1|-1
1|1,5,-4,-2|1
1|1,-1,-6,0|1
1|41,0,-13,0|1
1|2,0,-6,-2|1
2|14,8,-7,-2|1
1|9,-1,-7,0|1
1|5,-1,-6,0|1
1|3,-4,-8,-1|1
1|4,3,-5,-2|1
1|4,0,-7,0|-1
1|6,4,-6,-1|1
1|44,0,-14,0|-1
1|-1,10,-7,-1|1
1|41,13,-12,-2|1
1|1,-3,-7,-1|1
1|4,6,-7,-1|-1
1|18,0,-12,0|-1
1|2,12,-11,-2|-1
1|41,9,-14,-1|-1
1|14,-4,-10,0|1
1|5,4,-5,-2|1
1|44,14,-13,-2|-1
1|44,2,-15,-1|-1
1|5,-1,-7,-1|1
1|45,15,-14,-2|-1
1|29,16,-15,-2|-1
1|2,2,-5,-2|1
1|3,-9,-11,-1|1
1|8,1,-7,-1|1
1|3,6,-8,-1|-1
1|17,10,-9,-2|-1
1|44,12,-15,-1|-1
1|12,4,-8,-1|1
1|-2,10,-7,-1|1
1|36,0,-17,0|-1
1|17,2,-11,-2|1
1|2,-2,-6,0|1
1|-3,13,-8,-1|1
1|1,3,-8,-1|-1
1|6,0,-8,-2|1
1|1,9,-7,-1|1
1|18,12,-11,-2|-1
1|49,7,-15,-1|-1
1|4,4,-9,-1|-1
1|4,2,-7,-1|-1
1|8,12,-11,-1|1
1|55,0,-15,0|1
1|3,0,-6,-1|1
1|4,5,-6,-1|1
1|16,8,-9,-2|-1
1|2,6,-6,-1|1
1|17,-8,-12,0|1
1|3,-4,-9,0|1
1|2,0,-6,-1|1
1|1,3,-5,-2|1
1|1,2,-6,-1|1
1|7,6,-7,-1|1
1|55,15,-14,-2|1
1|23,0,-10,0|1
1|59,0,-16,0|-1
1|3,8,-7,-1|1
1|10,4,-7,-1|1
1|2,-1,-6,0|1
1|-3,12,-11,-2|1
1|61,0,-17,0|-1
1|1,-2,-7,-1|1
1|5,7,-7,-1|1
1|55,10,-16,-1|1
1|-1,7,-7,-1|1
1|18,-12,-14,0|-1
1|3,1,-6,-2|1
1|2,0,-6,0|1
1|59,16,-15,-2|-1
1|6,-6,-9,0|-1
1|8,-2,-8,0|1
1|59,3,-17,-1|-1
1|1,6,-6,-1|1
1|9,-6,-10,0|1
1|3,9,-8,-1|-1
1|3,-1,-6,0|1
1|-1,-7,-9,0|1
1|4,-4,-10,0|1
1|61,17,-16,-2|-1
1|23,10,-9,-2|1
1|7,-2,-7,0|1
1|61,1,-18,-1|-1
1|59,13,-17,-1|-1
1|5,4,-6,-1|1
1|9,2,-7,-1|1
1|5,5,-5,-2|1
1|-2,9,-8,-1|1
1|1,3,-6,-1|1
1|49,0,-19,0|-1
1|4,1,-6,-1|1
1|11,-2,-8,0|1
1|3,0,-6,0|1
1|61,16,-18,-1|1
1|9,12,-11,-2|-1
1|64,8,-17,-1|-1
1|4,0,-10,0|-1
2|7,14,-13,-2|-1
1|71,0,-17,0|1
1|2,3,-5,-2|1
1|5,2,-6,-1|1
1|-1,12,-8,-1|1
1|1,-1,-7,-1|1
1|9,7,-6,-2|1
1|23,6,-11,-2|-1
1|16,5,-9,-1|1
1|1,4,-6,-1|1
1|13,0,-8,0|1
1|26,0,-11,0|-1
2|2,-6,-9,-1|1
1|71,17,-16,-2|1
1|8,-1,-7,0|1
1|76,0,-18,0|-1
1|1,4,-5,-2|1
1|2,-2,-10,0|-1
1|71,6,-18,-1|-1
1|2,-2,-7,-1|1
1|6,0,-7,-1|1
1|25,0,-12,0|-1
1|71,11,-18,-1|-1
1|3,1,-6,-1|1
1|5,3,-6,-1|1
1|79,0,-19,0|-1
1|31,0,-14,0|-1
1|28,12,-11,-2|1
1|5,-3,-7,0|1
1|76,18,-17,-2|-1
1|3,-4,-7,0|1
1|12,0,-10,0|-1
1|76,4,-19,-1|-1
1|1,-1,-7,0|1
1|-1,9,-7,-1|1
1|1,10,-9,-2|-1
1|2,5,-6,-1|1
1|25,10,-11,-2|-1
1|1,-2,-7,0|1
1|4,8,-8,-1|1
1|-1,7,-8,-1|1
1|1,-3,-7,0|1
1|79,19,-18,-2|-1
1|76,14,-19,-1|-1
1|15,7,-9,-1|1
1|79,2,-20,-1|1
1|16,13,-13,-1|1
1|2,2,-6,-1|1
1|80,20,-19,-2|-1
1|4,-2,-8,0|1
1|64,0,-21,0|-1
1|13,8,-7,-2|1
1|34,0,-12,0|1
1|1,4,-8,-2|1
1|3,-2,-10,-1|1
1|81,9,-19,-1|-1
1|9,6,-8,-2|1
1|13,0,-13,0|-1
1|79,17,-20,-1|-1
1|3,4,-5,-2|1
1|31,14,-13,-2|-1
1|3,1,-8,-1|-1
1|16,5,-9,-2|1
2|4,-3,-8,-1|1
3|4,5,-5,-2|1
1|13,10,-9,-2|-1
1|80,20,-21,-1|-1
1|31,2,-15,-2|-1
1|-1,7,-6,-2|1
1|1,-7,-8,0|1
1|2,3,-6,-1|1
1|32,16,-15,-2|-1
1|8,5,-7,-1|1
1|3,2,-6,-1|1
1|3,17,-11,-1|1
1|1,1,-7,-1|1
2|-3,12,-8,-1|1
1|4,3,-6,-1|1
1|89,19,-18,-2|1
1|-1,7,-9,-1|1
1|3,4,-6,-1|1
1|34,12,-11,-2|1
1|95,0,-20,0|-1
1|89,7,-20,-1|-1
1|1,-2,-8,-2|1
1|89,12,-20,-1|-1
1|25,-2,-11,0|1
1|12,10,-9,-2|-1
1|12,-2,-9,0|1
1|99,0,-21,0|-1
1|-2,9,-8,-2|1
1|13,-2,-12,-2|1
1|13,5,-8,-1|1
1|95,20,-19,-2|-1
1|9,3,-9,-1|1
1|1,1,-10,-1|-1
1|2,8,-7,-1|1
1|7,1,-7,-1|1
1|95,5,-21,-1|-1
1|5,7,-9,-1|1
1|16,7,-8,-2|1
1|7,-3,-9,-1|1
1|6,-2,-7,0|1
1|34,-4,-14,0|1
1|95,15,-21,-1|1
1|-2,14,-13,-2|-1
1|-2,12,-8,-1|1
1|99,21,-20,-2|-1
1|81,0,-23,0|-1
1|34,8,-13,-2|-1
2|3,6,-5,-2|1
1|4,8,-9,-2|1
1|2,5,-5,-2|1
1|3,10,-8,-1|1
1|5,3,-6,-2|1
1|1,3,-6,-2|1
1|101,22,-21,-2|-1
1|4,-4,-11,0|1
1|101,1,-23,-1|-1
1|9,4,-7,-2|1
1|2,-2,-9,0|-1
1|100,10,-21,-1|-1
1|25,5,-14,-1|1
1|-1,-8,-9,0|1
1|1,25,-14,-1|-1
1|1,2,-7,-1|1
1|99,18,-22,-1|-1
1|4,-3,-7,0|1
1|109,0,-21,0|1
1|4,-2,-11,0|-1
1|4,2,-8,-1|-1
1|13,13,-12,-2|-1
1|3,-6,-8,0|1
1|2,2,-6,-2|1
1|1,-3,-8,-1|1
1|3,2,-6,-2|1
1|14,3,-9,-1|-1
1|4,4,-10,-2|-1
2|2,6,-5,-2|1
1|101,21,-23,-1|-1
1|-2,-10,-10,0|1
1|3,-1,-7,-1|1
1|13,-6,-11,0|-1
1|101,24,-24,-1|-1
1|-1,12,-11,-2|-1
1|5,-5,-8,0|1
1|8,7,-6,-2|1
1|41,14,-13,-2|-1
1|109,21,-20,-2|1
1|-3,12,-11,-1|1
1|2,-3,-7,0|1
1|-1,7,-7,-2|1
1|1,11,-10,-1|-1
1|17,0,-9,0|1
1|36,12,-13,-2|-1
1|7,5,-8,-1|-1
1|16,16,-15,-2|-1
1|4,10,-9,-2|-1
1|116,0,-22,0|-1
1|109,8,-22,-1|-1
1|-2,-10,-11,0|1
1|9,10,-10,-1|-1
1|2,0,-7,-2|1
1|4,6,-8,-1|-1
1|109,13,-22,-1|-1
1|3,-7,-10,-1|1
1|46,0,-16,0|-1
1|13,-3,-9,0|1
1|20,4,-10,-1|1
1|4,-2,-9,-1|-1
1|5,-4,-11,0|-1
1|1,-8,-10,-1|1
1|47,0,-14,0|1
1|13,5,-8,-2|1
1|5,9,-8,-2|-1
1|10,3,-8,-2|1
1|6,6,-7,-2|1
1|89,24,-23,-2|-1
1|17,3,-9,-1|1
1|13,-12,-13,0|1
1|116,22,-21,-2|-1
1|1,8,-7,-1|1
1|41,6,-15,-2|1
2|6,4,-6,-2|1
1|1,0,-15,0|-1
1|1,-9,-9,0|1
1|5,-1,-12,0|1
1|116,6,-23,-1|-1
1|7,-1,-8,-1|1
1|7,0,-7,0|1
1|41,-8,-16,0|-1
1|124,0,-24,0|-1
1|2,11,-9,-1|-1
1|1,-2,-8,-1|1
1|116,16,-23,-1|-1
1|-1,-12,-10,0|1
1|1,3,-7,-1|1
1|22,0,-10,0|1
2|22,0,-14,0|-1
1|7,5,-6,-2|1
1|121,23,-22,-2|-1
1|-1,14,-9,-1|1
1|4,6,-7,-2|1
1|5,0,-11,0|-1
1|121,4,-24,-1|1
1|-3,-15,-11,0|1
1|-1,7,-8,-2|1
1|50,0,-20,0|-1
1|46,16,-15,-2|-1
1|121,11,-23,-1|-1
1|47,14,-13,-2|1
1|16,0,-11,0|-1
1|124,24,-23,-2|-1
1|-4,15,-9,-1|1
1|5,-2,-7,0|1
1|17,9,-8,-2|1
1|124,2,-25,-1|-1
1|2,0,-7,-1|1
1|131,0,-23,0|1
1|125,25,-24,-2|-1
1|11,-4,-9,0|1
1|121,19,-24,-1|-1
1|-5,-18,-12,0|1
1|2,-1,-7,0|1
1|46,4,-17,-2|-1
1|7,8,-8,-1|1
1|-17,37,-16,-1|-1
1|5,-4,-9,-1|1
1|11,2,-9,-2|1
1|9,-6,-12,-1|1
1|23,18,-17,-2|-1
1|10,-2,-8,0|1
1|124,22,-25,-1|-1
1|13,-13,-16,-1|-1
1|-8,31,-15,-1|-1
1|7,5,-7,-1|1
1|131,23,-22,-2|1
1|2,3,-9,-1|-1
1|49,18,-17,-2|-1
1|1,4,-6,-2|1
1|125,25,-26,-1|-1
1|6,-1,-7,0|1
1|19,7,-9,-2|1
1|-2,11,-8,-1|1
1|46,-12,-18,0|1
1|16,9,-10,-1|1
1|139,0,-24,0|-1
1|15,4,-10,-1|1
1|10,5,-7,-2|1
1|3,-8,-9,0|1
1|49,2,-19,-2|1
2|1,2,-7,-2|1
1|9,-5,-9,0|1
1|131,14,-24,-1|-1
1|16,-1,-9,0|1
1|2,-6,-8,0|1
1|13,4,-8,-1|1
1|50,20,-19,-2|-1
1|22,10,-9,-2|1
1|-1,8,-8,-1|1
1|3,-5,-9,-1|1
1|-1,-8,-11,-1|1
1|47,10,-15,-2|-1
1|5,-2,-8,-1|1
1|49,0,-16,0|-1
2|25,0,-20,0|-1
3|1,0,-8,0|1
1|1,4,-7,-1|1
1|3,7,-7,-1|1
1|145,0,-25,0|-1
1|139,24,-23,-2|-1
1|4,10,-9,-1|-1
1|5,-7,-9,0|1
1|2,3,-6,-2|1
1|1,-1,-8,0|1
1|3,-2,-7,0|1
1|22,14,-13,-2|-1
1|4,1,-7,-2|1
1|16,11,-11,-1|-1
1|149,0,-26,0|-1
1|49,-16,-20,0|-1
1|139,17,-25,-1|-1
1|11,-1,-8,0|1
1|52,0,-15,0|-1
1|5,6,-7,-1|1
1|151,0,-27,0|-1
1|3,0,-7,-1|1
1|145,25,-24,-2|1
1|49,14,-15,-2|-1
1|12,6,-9,-1|-1
1|4,8,-11,-1|-1
1|145,5,-26,-1|-1
1|144,12,-25,-1|-1
1|8,0,-9,-1|1
1|11,6,-7,-2|1
1|50,-20,-22,0|-1
1|13,0,-11,0|-1
1|1,-11,-10,0|1
1|155,0,-25,0|1
1|1,7,-7,-1|1
1|-4,16,-11,-1|-1
1|7,7,-6,-2|1
1|23,0,-12,0|-1
1|149,26,-25,-2|-1
1|3,-2,-14,-1|-1
1|24,12,-11,-2|-1
1|1,-3,-9,-2|1
1|149,3,-27,-1|-1
2|145,20,-26,-1|-1
1|3,3,-6,-2|1
1|22,-4,-16,-2|1
1|7,6,-6,-2|1
1|151,1,-28,-1|-1
1|62,0,-16,0|1
